experiment,train_years,test_year,train_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_target_mean,weighted_prediction_mean,device
direct_2017_to_2022,2017,2022,129696,7893,4.209620626075751,5.185434596265673,3.4715460764958532,-0.6016529835551818,4.592083848142553,5.62917986266184,3.9597741508198596,3.831913682179956,7.791687832999816,cuda
pooled_history_to_2022,2001+2009+2017,2022,349660,7893,4.328504020536744,5.36118325820267,3.63226676346699,-0.7120616953136165,4.716293965586249,5.826867918368718,4.1255280281758155,3.831913682179956,7.957441710355773,cuda
pooled_history_with_year_to_2022,2001+2009+2017,2022,349660,7893,4.084202523197071,5.027415997695063,3.296313181072077,-0.5055242347428552,4.40621849145099,5.407632997330238,3.7202073039874066,3.831913682179956,7.5521209861673615,cuda
