method,split,rows,accuracy,weighted_accuracy,balanced_accuracy,weighted_balanced_accuracy,macro_f1,weighted_macro_f1,weighted_f1,survey_weighted_f1,top2_accuracy,weighted_top2_accuracy,log_loss,weighted_log_loss,multiclass_brier,weighted_multiclass_brier,uses_2017_labels,uses_2022_labels_for_training,device
historical_prior_2017,validation,184715,0.8662967273908454,0.8271573554817928,0.14285714285714285,0.14285714285714285,0.1326227212695871,0.12934336075968642,0.8042344058945811,0.7489111856457685,0.9543134017269849,0.9324679933097163,0.5506646935846549,0.6657270441065013,0.2433861093595495,0.3031937711035636,True,False,none
historical_prior_2017,test_2022,31074,0.8820557379159426,0.8695567985267046,0.14285714285714285,0.14285714285714285,0.13390460231422563,0.1328896772619291,0.8267792596323058,0.8088858562199099,0.9497328956684045,0.9380910105982385,0.5215806281783956,0.560468291481079,0.22125525159108378,0.24087329509605848,True,False,none
xgboost_unweighted,validation,184715,0.9421703705708795,0.9282037982718637,0.4720324785396727,0.4922405253630357,0.5334336352217897,0.5456518762616956,0.9359459208077197,0.9215715815172603,0.9856210919524673,0.9802734293148343,0.18285377323627472,0.22312089138608826,0.08803129261191776,0.10887602488710733,True,False,cuda
xgboost_unweighted,test_2022,31074,0.9373431164317436,0.928000467125987,0.43088852347495255,0.4259192831269535,0.4658119378628977,0.4510674494358717,0.9323956640365371,0.9234673068078113,0.9786316534723563,0.9764928749467615,0.21103183925151825,0.23192952338137895,0.09626281693713493,0.10835565387764805,True,False,cuda
xgboost_survey_weighted,validation,184715,0.9408764853964215,0.9348962562606044,0.46121332581430347,0.5536145275690797,0.5232853867594299,0.6192235286232848,0.9340669864124175,0.9298155500706394,0.9844571366700051,0.9841706499156102,0.19146564602851868,0.20149746294131318,0.09058556803265248,0.09862593102123231,True,False,cuda
xgboost_survey_weighted,test_2022,31074,0.9373431164317436,0.929695338980117,0.43024335678045345,0.43430535094949535,0.46561460631883206,0.4662624604058296,0.9312567989569289,0.9240784574594413,0.9777627598635515,0.9754433759937482,0.2143036425113678,0.2338541552645214,0.09624095953942852,0.1073264922501283,True,False,cuda
xgboost_class_balanced,validation,184715,0.8247949543891941,0.8049180918840069,0.6890484743646071,0.745240168306796,0.4297955305939491,0.47019690461247393,0.8650366969583758,0.8449043985896071,0.9386514359959939,0.9287877973136763,0.5825520753860474,0.6282588901272587,0.2807452595047907,0.30513663045124956,True,False,cuda
xgboost_class_balanced,test_2022,31074,0.7989315826736179,0.7852062580091996,0.5770106321707137,0.5500548684881902,0.38986924266257705,0.3722115915444381,0.8503890011386837,0.835464681716736,0.9212524940464697,0.9123720482604618,0.6726112365722656,0.7025952880938089,0.31957361900695214,0.3345580902346822,True,False,cuda
