method,train_year,test_year,test_rows,device,weighted_total_variation,weighted_mean_share_mae,weighted_dominant_purpose_accuracy,work_share_weighted_mae,work_share_weighted_bias,shopping_share_weighted_mae,shopping_share_weighted_bias,social_recreation_share_weighted_mae,social_recreation_share_weighted_bias,other_home_based_share_weighted_mae,other_home_based_share_weighted_bias,non_home_based_share_weighted_mae,non_home_based_share_weighted_bias
historical_mean_2017,2017,2022,6187,none,0.6136725580412034,0.24546902321648134,0.11389247068813876,0.260169858716915,-0.030997991599551408,0.27240507787570245,-0.021644649445929403,0.20290815272298013,-0.03156251751922793,0.26784038493018386,-0.0271294145395676,0.22402164183662523,0.11133457310427636
historical_xgboost,2017,2022,6187,cuda,0.5660949978918484,0.22643799915673937,0.34307934753871355,0.20240240903763143,-0.04495384202287104,0.26007603469091706,-0.01721756051659714,0.19926037935040217,-0.02757632565941366,0.2467627110083198,-0.02526728349911124,0.2236884616964263,0.11501501227247496
llm_purpose_prior_a0p5,2017,2022,6187,cuda,0.5719290070646085,0.22877160282584338,0.22135045566154743,0.20088239830875354,-0.0660944186286368,0.2549629506780603,-0.04606497693584175,0.20094297055637841,-0.02345923228630955,0.2501673859042862,-0.010168936750549518,0.23690230868173834,0.14578756460133763
global_purpose_prior_a0p5,2017,2022,6187,cuda,0.570263030009379,0.22810521200375156,0.2395361331037587,0.20103995626300109,-0.05744139335711528,0.2542819467950981,-0.048140899081719375,0.20047889828658083,-0.024679986502631635,0.24981754718941082,-0.011833971768395525,0.23490771148466708,0.14209625070986182
llm_purpose_prior_a0p75,2017,2022,6187,cuda,0.5774548779194008,0.23098195116776035,0.19792260841460532,0.20055715219485104,-0.08007333004120401,0.25237388116770476,-0.0646301339010901,0.20208360995274988,-0.020744921436142937,0.2526184357378761,-0.0004301759822432953,0.24727667678561974,0.16587856136068038
global_purpose_prior_a0p75,2017,2022,6187,cuda,0.5740705304281158,0.22962821217124635,0.20604992346296774,0.20037755063665647,-0.06534479356418674,0.2513111922524271,-0.06768365934998474,0.20125814488095664,-0.022835378071074657,0.2519048336407984,-0.003379269253436931,0.2432893394453931,0.15924310023868307
llm_purpose_prior_a1,2017,2022,6187,cuda,0.5860503406423286,0.23442013625693145,0.1883695051545273,0.20098609284703026,-0.09749318339169494,0.2501080747490963,-0.08719519854397006,0.20352405711201899,-0.017372643215594927,0.2558835294931569,0.011434638721295078,0.2615989270833548,0.19062638642996488
global_purpose_prior_a1,2017,2022,6187,cuda,0.5798889760102502,0.2319555904041001,0.19022682907485022,0.19976534860458386,-0.07478985738187421,0.24860558287262743,-0.09100546222492067,0.2021999989477716,-0.02061991536797877,0.25454726594060717,0.006676227490616746,0.2546597556549103,0.17973900748415692
