method,weighted_mae,abs_weighted_bias,worst_subgroup_weighted_mae,subgroup_mae_std,worst_subgroup_gap_vs_overall,min_subgroup_mae_improvement_vs_historical,median_subgroup_mae_improvement_vs_historical,share_subgroups_improved_vs_historical
llm_trip_suppression_a1p25,2.481972167520235,0.5403961310609204,4.621830904686246,0.73332539698135,2.139858737166011,0.9944778314740517,1.8864958294592291,1.0
gated_trip_suppression_a1_d0p15,2.5022798339489665,0.023038008084742212,4.70907790735122,0.6999414710899631,2.206798073402253,0.9943284289731622,1.865307724276482,1.0
global_trip_suppression_a1p25,2.522331852502907,0.7477032340364844,4.734764203833489,0.7165690211558582,2.212432351330582,0.9687790210994331,1.8405074821023,1.0
llm_only_trip_suppression_a1p25,2.7175133709906736,0.37324858863071647,5.05953074876536,0.754329017187052,2.342017377774686,0.5855803967515711,1.6728762973458406,1.0
historical_mean_only,5.51164356902712,4.499490186792657,7.107711270841407,0.726640372824456,1.5960677018142873,-4.248016906329875,-1.1200515673328133,0.25
historical_xgboost,4.337687319043563,3.605183709134669,8.3778366433052,1.0849280521646985,4.040149324261637,0.0,0.0,0.0
