method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
catboost_gpu,42,0.0,0,7893,3.918489577231656,4.854165618185977,3.077012783652654,-0.4035480494521439,4.219551833291352,5.209451395377291,3.4872896654634005,-0.5712410488069177,3.831913682179956,7.319203347643356,gpu
xgboost_stronger_cuda,42,0.0,0,7893,4.092133131163754,5.035146378859164,3.307136984027325,-0.510157718011554,4.417344356301848,5.417129361862433,3.7363554848073504,-0.6990151414184103,3.831913682179956,7.568269166987307,cuda
xgboost_covariate_shift_reweighted_cuda,42,0.0,0,7893,4.103934405225471,5.053056329932816,3.3216151619658305,-0.5209200480234797,4.430414746502895,5.441156085990387,3.752290655717615,-0.7141199300413106,3.831913682179956,7.584204337897571,cuda
lightgbm_cpu,42,0.0,0,7893,4.109462443195879,5.066709325842811,3.3278841182721273,-0.5291499852193675,4.442985467883056,5.461430374430421,3.764645518626494,-0.7269176910620407,3.831913682179956,7.59655920080645,cpu
