method,sample_size,seed,leaf,calibrated_leaf_value
llm_rule_small_hist_calibrated_n50,50,20265620,worker_vehicle_household,6.511118130503386
llm_rule_small_hist_calibrated_n50,50,20265621,carless_worker,6.004659526355956
llm_rule_small_hist_calibrated_n50,50,20265621,large_low_vehicle,6.458993184248868
llm_rule_small_hist_calibrated_n50,50,20265621,large_multi_vehicle,8.81453235228992
llm_rule_small_hist_calibrated_n50,50,20265621,multi_worker_multi_vehicle,7.110833972946284
llm_rule_small_hist_calibrated_n50,50,20265621,nonworker_other,4.660808499143006
llm_rule_small_hist_calibrated_n50,50,20265621,urban_nonworker,5.5569216666056915
llm_rule_small_hist_calibrated_n50,50,20265621,worker_vehicle_household,5.133619799751548
llm_rule_small_hist_calibrated_n50,50,20265622,carless_nonworker,8.423200566764065
llm_rule_small_hist_calibrated_n50,50,20265622,large_low_vehicle,9.566057709621207
llm_rule_small_hist_calibrated_n50,50,20265622,large_multi_vehicle,8.650449009097182
llm_rule_small_hist_calibrated_n50,50,20265622,multi_worker_multi_vehicle,11.30443734068161
llm_rule_small_hist_calibrated_n50,50,20265622,nonworker_other,7.6479710987135
llm_rule_small_hist_calibrated_n50,50,20265622,urban_nonworker,8.073711648049082
llm_rule_small_hist_calibrated_n50,50,20265622,worker_vehicle_household,8.739465962133906
llm_rule_small_hist_calibrated_n50,50,20265623,carless_nonworker,10.082178086386522
llm_rule_small_hist_calibrated_n50,50,20265623,carless_worker,9.93932094352938
llm_rule_small_hist_calibrated_n50,50,20265623,large_multi_vehicle,12.302028486640125
llm_rule_small_hist_calibrated_n50,50,20265623,multi_worker_multi_vehicle,10.034899230412503
llm_rule_small_hist_calibrated_n50,50,20265623,nonworker_other,8.4841014729609
llm_rule_small_hist_calibrated_n50,50,20265623,urban_nonworker,7.937829482773549
llm_rule_small_hist_calibrated_n50,50,20265623,worker_vehicle_household,9.643621800662054
llm_rule_small_hist_calibrated_n50,50,20265624,carless_nonworker,6.507410634777353
llm_rule_small_hist_calibrated_n50,50,20265624,large_multi_vehicle,9.065885292025467
llm_rule_small_hist_calibrated_n50,50,20265624,multi_worker_multi_vehicle,8.219669404578326
llm_rule_small_hist_calibrated_n50,50,20265624,nonworker_other,6.016544291579584
llm_rule_small_hist_calibrated_n50,50,20265624,urban_nonworker,7.068766236471209
llm_rule_small_hist_calibrated_n50,50,20265624,worker_vehicle_household,5.550903050447562
llm_rule_small_hist_calibrated_n50,50,20265625,carless_nonworker,10.315208567186865
llm_rule_small_hist_calibrated_n50,50,20265625,large_low_vehicle,11.005178087049073
llm_rule_small_hist_calibrated_n50,50,20265625,large_multi_vehicle,12.467527455219962
