method,sample_size,runs,weighted_mae_mean,weighted_mae_std,weighted_rmse_mean,weighted_bias_mean,weighted_r2_mean,weighted_within_2_trips_mean,weighted_within_3_trips_mean
llm_rule_small_hist_calibrated_n50,50,20,3.051676310387786,0.4306456609723672,4.0658822000078505,0.796813468208164,0.03845746100576598,0.3907639335071306,0.5899039986929451
llm_rule_small_hist_calibrated_n100,100,20,3.001176831492525,0.3631634933726137,4.03305371630898,0.7405335168297723,0.05508395144726771,0.4104440057355812,0.6061834057446531
llm_rule_small_hist_calibrated_n250,250,20,2.8307714939725694,0.15829076507216497,3.873431724193023,0.5892311358456221,0.13050009637657825,0.4501744254439484,0.6516599240590091
llm_rule_small_hist_calibrated_n500,500,20,2.7723230507938394,0.08175946288780105,3.8226289117509773,0.46271734233942385,0.1537703927092823,0.4719225384230846,0.6628017412628058
llm_rule_small_hist_calibrated_n1000,1000,20,2.7905192818776574,0.06744254794364855,3.843590076830824,0.5725336541383885,0.14447296763640946,0.47817576546353235,0.6599436216176463
llm_rule_full_history_calibrated,349660,1,2.78703029996339,0.0,3.8417604945460195,0.6068300929656252,0.145485555296901,0.4937734849012893,0.6551172036102335
