method,sample_size,seed,calibration_rows,event_alpha,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean,exact_rounded_accuracy,within_2_trips,within_3_trips,weighted_within_2_trips,weighted_within_3_trips
llm_rule_small_hist_calibrated_n50,50,20265610,50,1.0,2.784026135240564,3.9695239852674353,-0.06911076209949234,0.08770415540072052,3.7628029200804636,0.12441403775497276,0.44773850247054353,0.6681870011402509,0.4437629707199413,0.6736208187508802
llm_rule_small_hist_calibrated_n50,50,20265611,50,1.0,3.132212463752735,4.093832649688047,1.0583914358311393,0.029671010683543275,4.890305118011096,0.09337387558596225,0.3513239579374129,0.5632839224629419,0.3469913157803812,0.5651698336697261
llm_rule_small_hist_calibrated_n50,50,20265612,50,1.0,2.736471104141855,3.891949050074962,-0.01343070144276855,0.12301305527556061,3.8184829807371874,0.13176232104396302,0.4732041049030787,0.6683136956797162,0.4721895772495905,0.670533298803416
llm_rule_small_hist_calibrated_n50,50,20265613,50,1.0,3.1936115830629377,4.116163373191659,1.3231945069717665,0.019056387614233894,5.155108189151722,0.07867730900798175,0.3513239579374129,0.5559356391739516,0.3412711195854485,0.5574995301395782
llm_rule_small_hist_calibrated_n50,50,20265614,50,1.0,2.90079367289087,3.9528177366797155,0.5119136042494576,0.09536702343622161,4.343827286429414,0.10629671861142785,0.42721398707715696,0.6121880146965666,0.42398270535000676,0.6157574871042244
llm_rule_small_hist_calibrated_n50,50,20265615,50,1.0,3.8940123636134842,4.641330010398284,2.553745211469834,-0.24722191636407964,6.38565889364979,0.060053211706575446,0.24325351577347015,0.3769162549094134,0.2399671124948391,0.3722182283779021
llm_rule_small_hist_calibrated_n50,50,20265616,50,1.0,2.6956656578436005,3.844715996488302,-0.07197521181031802,0.14417027780511738,3.759938470369638,0.1340428227543393,0.47345749398200937,0.6769289243633599,0.462255793754822,0.6789554257277668
llm_rule_small_hist_calibrated_n50,50,20265617,50,1.0,3.679947920723611,4.459790512028159,2.1796044823801295,-0.15156313752194595,6.011518164560086,0.05409856835170404,0.2614975294564804,0.4345622703661472,0.2592573608780125,0.43239127491821827
llm_rule_small_hist_calibrated_n50,50,20265618,50,1.0,2.74929613339813,3.828158553364865,0.22882770997330984,0.15152574402477992,4.0607413921532665,0.12441403775497276,0.4666159888508805,0.6730013936399342,0.46068137432188155,0.671891296408951
llm_rule_small_hist_calibrated_n50,50,20265619,50,1.0,4.015792095876293,4.761421195043974,2.8532415917217318,-0.31259890458914064,6.685155273901688,0.05739262637780312,0.23413150893196502,0.384391232737869,0.22290910239957143,0.3690127456470799
llm_rule_small_hist_calibrated_n50,50,20265620,50,1.0,2.800070542219494,3.8894608367653856,0.32721136057214384,0.12413405301564884,4.1591250427521,0.118332699860636,0.43671607753705816,0.6431014823261118,0.43024862759990895,0.6463237307419558
llm_rule_small_hist_calibrated_n50,50,20265621,50,1.0,2.588691506876819,3.8276098027040244,-0.47348066886871143,0.15176897712560888,3.3584330133112448,0.14164449512226024,0.521601418978842,0.7225389585708856,0.5245669735837392,0.7302084222816366
llm_rule_small_hist_calibrated_n50,50,20265622,50,1.0,3.102448191964405,4.085040228837666,0.9514236944222847,0.03383453170211559,4.7833373766022405,0.08691245407322945,0.35461801596351195,0.559736475357912,0.3479744688782835,0.5632814582643324
llm_rule_small_hist_calibrated_n50,50,20265623,50,1.0,3.2074166601542085,4.066251018554909,1.424831300375182,0.04270188012802134,5.256744982555138,0.08285822881033827,0.33257316609654125,0.5267958950969214,0.3213817831231884,0.5217223705843417
