method,family,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean,exact_rounded_accuracy,within_2_trips,within_3_trips,weighted_within_2_trips,weighted_within_3_trips,weighted_mae_delta_vs_primary,weighted_mae_gain_vs_historical_pct
historical_xgboost,data_only,4.337687319043563,5.316934312940995,3.605183709134669,-0.6367465180201153,7.437097391314626,0.05840618269352591,0.2647915874825795,0.41935892563030536,0.23389974913658806,0.38083928785572935,1.8354074850945965,0.0
llm_only_pressure,llm_only,2.7175133709906736,3.9876142225127875,-0.37324858863071647,0.07937003059806125,3.4586650935492393,0.1415178005827949,0.5095654377296338,0.679842898771063,0.5170028343054679,0.6834677196621461,0.2152335370417071,37.35110045714704
primary_hybrid_gated_adapter,hybrid_event_adapter,2.5022798339489665,3.6038437615055248,-0.023038008084742212,0.24804691566227388,3.808875674095214,0.1772456607120233,0.5449132142404662,0.7116432281768655,0.5395255506831927,0.7084982108536632,0.0,42.31304264456052
zero_shot_llm_rule_tree,llm_rule_baseline,2.7507502252887983,3.7834428538500258,0.4999715310883307,0.1712315817729022,4.331885213268286,0.1329025718991511,0.4797922209552768,0.6513366273913594,0.4787872498818474,0.6449187191579534,0.24847039133983184,36.58486601345612
zero_shot_pseudo_label_tree,llm_rule_baseline,2.7767038570256117,3.819725469604201,0.4999715310883323,0.1552598491740995,4.331885213268289,0.1322690992018244,0.4875205878626631,0.6685670847586469,0.4865018676970788,0.6629673997904127,0.27442402307664526,35.98653723067664
llm_rule_small_hist_calibrated_n100,llm_rule_small_data_calibration,3.001176831492525,4.03305371630898,0.7405335168297723,0.05508395144726771,,,,,0.4104440057355812,0.6061834057446531,0.49889699754355865,30.811591275457154
llm_rule_small_hist_calibrated_n500,llm_rule_small_data_calibration,2.7723230507938394,3.8226289117509773,0.46271734233942385,0.1537703927092823,,,,,0.4719225384230846,0.6628017412628058,0.270043216844873,36.087531283718214
llm_rule_small_hist_calibrated_n1000,llm_rule_small_data_calibration,2.7905192818776574,3.843590076830824,0.5725336541383885,0.14447296763640946,,,,,0.47817576546353235,0.6599436216176463,0.28823944792869094,35.66803974950984
llm_rule_full_history_calibrated,llm_rule_full_history_calibration,2.78703029996339,3.8417604945460195,0.6068300929656252,0.145485555296901,,,,,0.4937734849012893,0.6551172036102335,0.28475046601442333,35.74847389926863
