method,train_year,test_year,test_rows,device,unweighted_mean_share_mae,weighted_mean_share_mae,unweighted_total_variation,weighted_total_variation,dominant_mode_accuracy,weighted_dominant_mode_accuracy,private_vehicle_share_mae,private_vehicle_share_weighted_mae,private_vehicle_share_bias,private_vehicle_share_weighted_bias,walk_share_mae,walk_share_weighted_mae,walk_share_bias,walk_share_weighted_bias,bike_share_mae,bike_share_weighted_mae,bike_share_bias,bike_share_weighted_bias,transit_share_mae,transit_share_weighted_mae,transit_share_bias,transit_share_weighted_bias,taxi_ridehail_share_mae,taxi_ridehail_share_weighted_mae,taxi_ridehail_share_bias,taxi_ridehail_share_weighted_bias,other_share_mae,other_share_weighted_mae,other_share_bias,other_share_weighted_bias
historical_mean_2017,2017.0,2022.0,6188.0,none,0.0859713514153363,0.0882168964010854,0.2579140542460091,0.2646506892032564,0.9015837104072398,0.8932520728867326,0.2370749828067349,0.2421898087635031,-0.0506910000663883,-0.0407424065822789,0.1596606809209906,0.1605982478186236,0.0202547100273191,0.0183815415341504,0.0190209421645429,0.0187823255695353,0.0006302782509123,0.0008740860218661,0.0529787203920686,0.0567194097387561,0.0260752494111109,0.021955066148837,0.0096822618567764,0.0102889864351128,0.0010656954992621,0.0004453414397224,0.0374105203509046,0.0407226000809816,0.0026650668777839,-0.0009136285622969
historical_xgboost,2017.0,2022.0,6188.0,cuda,0.0636824548144382,0.0669255754526703,0.1910473644433147,0.2007767263580111,0.9101486748545572,0.9029381242355896,0.1699043529119148,0.1752005683769831,0.0044067542125757,0.0043163194512663,0.1303604951942642,0.1321780844894561,-0.0054370923047754,-0.0044714988551926,0.015500823578306,0.0160137143516741,-0.0028154417047211,-0.0018545186410029,0.0272037669395084,0.0325202583800087,0.0044393019185812,0.0034901369272533,0.0076840418662488,0.0087182502254705,-0.0008372795968751,-0.0010054630747693,0.0314412483963869,0.0369225768924294,0.0002437571972794,-0.0004749754606834
llm_transit_avoidance_a1,2017.0,2022.0,6188.0,cuda,0.0629560318285523,0.0661721461242395,0.188868095485657,0.1985164383727184,0.9104718810601165,0.9045847643352534,0.1698483398309585,0.1751416928592148,0.0097135226983234,0.0104247556840898,0.1304153536017302,0.1324547736470328,-0.0028217895605339,-0.0011522701677636,0.0156851785232901,0.0162840029082768,-0.0025898350927342,-0.0015590811275304,0.0222279862788621,0.0268768789013847,-0.0042280028612406,-0.0069666056637571,0.0078805156321428,0.0089848350267212,-0.0006059998510448,-0.0007004330684278,0.0316788171043301,0.0372906934028063,0.0005321040076855,-4.636584111067232e-05
global_transit_avoidance_a1,2017.0,2022.0,6188.0,cuda,0.0630574898910706,0.0662882652571258,0.1891724696732118,0.1988647957713774,0.9101486748545572,0.904152899649266,0.169122777044943,0.1744419280297449,0.0076162405393841,0.007834866281368,0.13043845190161,0.1323320886676552,-0.0043926538816356,-0.0031542066380622,0.0155793229050017,0.0161254760415936,-0.0027214516300231,-0.0017337958185079,0.0239026189395483,0.0289360597109184,-0.0001226388014885,-0.0017642518495573,0.0077583853960723,0.0088183896854314,-0.0007516351152206,-0.0008921923953284,0.031543383159248,0.0370756494074111,0.0003721384393963,-0.0002904193674035
llm_only_2017_mean_no_adapt,,,,,,0.08821689640108546,,0.2646506892032564,,0.8932520728867326,,,,,,,,,,,,,,0.05671940973875616,,0.021955066148837084,,,,,,,,
llm_only_2017_mean_transit_a0.5,,,,,,0.08720220237416962,,0.2616066071225089,,0.8932520728867326,,,,,,,,,,,,,,0.05212398339349571,,0.0166987313329113,,,,,,,,
llm_only_2017_mean_transit_a0.75,,,,,,0.08668998318505317,,0.2600699495551595,,0.8932520728867326,,,,,,,,,,,,,,0.049801550542237415,,0.014039514601910035,,,,,,,,
llm_only_2017_mean_transit_a1,,,,,,0.08617499760703162,,0.2585249928210948,,0.8932520728867326,,,,,,,,,,,,,,0.04746232702448415,,0.011359171339680766,,,,,,,,
llm_only_2017_mean_transit_a1.25,,,,,,0.08565765068980295,,0.25697295206940884,,0.8932520728867326,,,,,,,,,,,,,,0.04510856239674638,,0.008672357738887903,,,,,,,,
