method,rows,unweighted_mae,unweighted_rmse,unweighted_bias,weighted_mae,weighted_rmse,weighted_bias,exact_rounded_accuracy,within_1_trip,within_2_trips,within_3_trips,weighted_within_1_trip,weighted_within_2_trips,weighted_within_3_trips
historical_xgboost,7893,4.004555516319705,4.932823037039285,3.1655956346484535,4.337687319043563,5.316934312940995,3.605183709134669,0.05840618269352591,0.11795261624223996,0.2647915874825795,0.41935892563030536,0.09809696085548182,0.23389974913658806,0.38083928785572935
llm_trip_suppression_a1p25,7893,2.4923767754315085,3.6648069200275946,-0.7164180069138582,2.4819721675202353,3.6600974223092853,-0.5403961310609204,0.15558089446344864,0.30241986570378815,0.5611301152920309,0.7226656531103509,0.3072460667821367,0.5691328003182764,0.7239395454394355
gated_trip_suppression_a1_d0p15,7893,2.4738369894694108,3.587177276821952,-0.2532417866863675,2.5022798339489665,3.6038437615055248,-0.023038008084742226,0.1772456607120233,0.2976054732041049,0.5449132142404662,0.7116432281768655,0.2971439248944585,0.5395255506831927,0.7084982108536632
