method,runs,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,weighted_mae_reduction_pct,weighted_rmse_reduction_pct,abs_weighted_bias_reduction_pct
historical_mean_only,1,5.381108992199417,6.008304577368937,4.394497749626358,-1.1503145103283772,5.51164356902712,6.125141114482981,4.499490186792657,-1.1721561047401452,3.831913682179956,8.331403868972613,-27.064104985843198,-15.20061663306381,-24.806127781838967
historical_xgboost,1,4.004555516319705,4.932823037039285,3.165595634648453,-0.449403068808502,4.337687319043563,5.316934312940995,3.605183709134669,-0.6367465180201153,3.831913682179956,7.437097391314626,0.0,0.0,0.0
historical_mean_trend_shift,1,3.827840812323869,4.772133717292923,2.908867962469909,-0.3565109814290721,4.150449240826088,5.146318950759584,3.3484560369561245,-0.533388611135309,3.831913682179956,7.180369719136081,4.316541614132758,3.208904833865384,7.1210704610713265
llm_only_trip_suppression_a1p25,1,2.7217604205004746,3.967074344504491,-0.3657389915492726,0.0625701376724664,2.717513370990674,3.987614222512788,-0.3732485886307166,0.079370030598061,3.831913682179956,3.458665093549239,37.35110045714703,25.00162710667212,89.64689128920132
global_trip_suppression_a1p25,1,2.5276070439309843,3.768972483116596,-0.9914545587400756,0.1538564685260329,2.522331852502907,3.743187105215461,-0.7477032340364844,0.1887739130528118,3.831913682179956,3.084210448143472,41.850768232435264,29.59877092886324,79.26032917152088
random_trip_suppression_a1p25,5,2.6333157406884213,3.883167627624607,-0.8904195525882423,0.10178553787294489,2.6465772253216584,3.8807201984590627,-0.6367603088050506,0.12803791936095593,3.831913682179956,3.1951533733749056,38.98644529534197,27.01207180585815,82.33764600700782
gated_trip_suppression_a1_d0p15,1,2.4738369894694108,3.587177276821952,-0.2532417866863675,0.2335147797043013,2.5022798339489665,3.6038437615055248,-0.0230380080847422,0.2480469156622738,3.831913682179956,3.808875674095214,42.31304264456052,32.21951693602729,99.36097547466528
