method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
historical_xgboost,42,0.05,395,7498,4.006891621179853,4.928260667486722,3.1648950384088628,-0.45021653640844717,4.33473444138035,5.301177190219496,3.6010608617433117,-0.6231888881308647,3.8269992135703697,7.428060075313682,cuda
bias_shift_calibration,42,0.05,395,7498,2.671703029977796,3.786366220234612,-0.45715923063292296,0.14396652974984292,2.7212473039520337,3.864260693247112,-0.012097184155981234,0.13750367255688423,3.8269992135703697,3.8149020294143887,cuda
residual_llm_only,42,0.05,395,7498,3.042414272426128,4.221975356214356,0.14300949689896147,-0.0643314606016332,3.1651240348171386,4.38207999372164,0.5631415256767471,-0.10913656304074859,3.8269992135703697,4.390140739247117,cuda
residual_tabular_only,42,0.05,395,7498,2.7571529833658057,3.914034460423267,0.0802486867197484,0.08526604233287893,2.8222381856604413,3.993402949289963,0.34934063270461857,0.07889171545450047,3.8269992135703697,4.176339846274988,cuda
residual_tabular_plus_llm,42,0.05,395,7498,2.7964818817706196,3.932003964662849,0.15435119553164312,0.07684759424997822,2.8770274527774875,4.01253257256429,0.44922055709801784,0.07004579712896075,3.8269992135703697,4.276219770668388,cuda
historical_xgboost,43,0.05,395,7498,3.9991416843390906,4.9227120577522765,3.1706480164628372,-0.4607711785672952,4.336614177532227,5.318540764828262,3.609047972659565,-0.6452222285275291,3.829854370943113,7.4389023436026775,cuda
bias_shift_calibration,43,0.05,395,7498,2.6679394233317675,3.7636605932858873,-0.31286262546588434,0.14612513780170278,2.7460883769903357,3.887173429024574,0.1355619741078041,0.1211648497131399,3.829854370943113,3.965416345050917,cuda
residual_llm_only,43,0.05,395,7498,3.0136527231961256,4.213583060894215,0.08134156613389344,-0.07022833098697379,3.117478270854834,4.350337344783799,0.5007441187774988,-0.1007417897571039,3.829854370943113,4.330598489720612,cuda
residual_tabular_only,43,0.05,395,7498,2.764876677612204,3.9206551883627476,0.07424743989843723,0.07340357069159631,2.8471316822927877,4.045818831475264,0.36332914788717685,0.04796602545857731,3.829854370943113,4.193183518830289,cuda
residual_tabular_plus_llm,43,0.05,395,7498,2.7743488318540472,3.96093023748498,0.08727189045519662,0.05426881196972433,2.8673777935587803,4.116066068020218,0.4024362148272415,0.014618831604827576,3.829854370943113,4.232290585770355,cuda
historical_xgboost,44,0.05,395,7498,4.004311323929037,4.935545495797198,3.1666666843249467,-0.44948207311023824,4.336261745443936,5.319561252021457,3.605939292282665,-0.6311841481168337,3.8450776469754793,7.451016939258144,cuda
bias_shift_calibration,44,0.05,395,7498,2.68160694402643,3.787671754589459,-0.37307502856065994,0.14633554226769252,2.752412562744843,3.888284821839522,0.07516358569871376,0.12849977306879412,3.8450776469754793,3.920241232674193,cuda
residual_llm_only,44,0.05,395,7498,3.0587902251451164,4.323035897696425,0.02275385442305387,-0.11203949793923984,3.157375010962068,4.460069826089393,0.4438979162967281,-0.14666004640201913,3.8450776469754793,4.288975563272207,cuda
residual_tabular_only,44,0.05,395,7498,2.70980308667346,3.841703997787476,0.009145159201801348,0.12180627743857264,2.782470894940082,3.9310178662421005,0.269178654495149,0.10923857826301686,3.8450776469754793,4.114256301470628,cuda
