year,package,table_name,column_name,column_index
2001,ascii,DAYPUB,HTHTNRNT,135
2001,ascii,DAYPUB,VEHTYPE,136
2001,ascii,DAYPUB,PRMACT,137
2001,ascii,DAYPUB,R_AGEWGT,138
2001,ascii,DAYPUB,TRIPPURP,139
2001,ascii,DAYPUB,ENDTRAV,140
2001,ascii,DAYPUB,BEGTRAV,141
2001,ascii,DAYPUB,OCCAT,142
2001,ascii,DAYPUB,NUMADLT,143
2001,ascii,DAYPUB,HHVEHCNT,144
2001,ascii,DAYPUB,WRKCOUNT,145
2001,ascii,DAYPUB,R_AGE,146
2001,ascii,DAYPUB,LIF_CYC,147
2001,ascii,DAYPUB,DRVRCNT,148
2001,ascii,DAYPUB,MSAPOP,149
2001,ascii,HHPUB,HOUSEID,0
2001,ascii,HHPUB,MSACAT,1
2001,ascii,HHPUB,RAIL,2
2001,ascii,HHPUB,CDIVMSAR,3
2001,ascii,HHPUB,FLGFINCM,4
2001,ascii,HHPUB,DRV_P13,5
2001,ascii,HHPUB,DRV_P14,6
2001,ascii,HHPUB,URBRUR,7
2001,ascii,HHPUB,HBHUR,8
2001,ascii,HHPUB,HTHUR,9
2001,ascii,HHPUB,IMPTHOWN,10
2001,ascii,HHPUB,IMPTHTYP,11
2001,ascii,HHPUB,IMPTPHON,12
2001,ascii,HHPUB,LIF_CYC,13
2001,ascii,HHPUB,INC_P1,14
2001,ascii,HHPUB,TDBOA911,15
2001,ascii,HHPUB,SMPLAREA,16
2001,ascii,HHPUB,SMPLFIRM,17
2001,ascii,HHPUB,SMPLSRCE,18
2001,ascii,HHPUB,DRV_P1,19
2001,ascii,HHPUB,DRV_P2,20
2001,ascii,HHPUB,DRV_P3,21
2001,ascii,HHPUB,DRV_P4,22
2001,ascii,HHPUB,DRV_P5,23
2001,ascii,HHPUB,DRV_P6,24
2001,ascii,HHPUB,DRV_P7,25
2001,ascii,HHPUB,DRV_P8,26
2001,ascii,HHPUB,DRV_P9,27
2001,ascii,HHPUB,DRV_P10,28
2001,ascii,HHPUB,DRV_P11,29
2001,ascii,HHPUB,DRV_P12,30
2001,ascii,HHPUB,WKR_P1,31
2001,ascii,HHPUB,WKR_P2,32
2001,ascii,HHPUB,WKR_P3,33
2001,ascii,HHPUB,WKR_P4,34
2001,ascii,HHPUB,WKR_P5,35
2001,ascii,HHPUB,WKR_P6,36
2001,ascii,HHPUB,WKR_P7,37
2001,ascii,HHPUB,WKR_P8,38
2001,ascii,HHPUB,WKR_P9,39
2001,ascii,HHPUB,WKR_P10,40
2001,ascii,HHPUB,WKR_P11,41
2001,ascii,HHPUB,WKR_P12,42
2001,ascii,HHPUB,WKR_P13,43
2001,ascii,HHPUB,WKR_P14,44
2001,ascii,HHPUB,HHR_HISP,45
2001,ascii,HHPUB,HOMEOWN,46
2001,ascii,HHPUB,HOMETYPE,47
2001,ascii,HHPUB,REL_P1,48
2001,ascii,HHPUB,REL_P2,49
2001,ascii,HHPUB,REL_P3,50
2001,ascii,HHPUB,REL_P4,51
2001,ascii,HHPUB,REL_P5,52
2001,ascii,HHPUB,REL_P6,53
2001,ascii,HHPUB,REL_P7,54
2001,ascii,HHPUB,REL_P8,55
2001,ascii,HHPUB,REL_P9,56
2001,ascii,HHPUB,REL_P10,57
2001,ascii,HHPUB,REL_P11,58
2001,ascii,HHPUB,REL_P12,59
2001,ascii,HHPUB,REL_P13,60
2001,ascii,HHPUB,REL_P14,61
2001,ascii,HHPUB,STAT_P1,62
2001,ascii,HHPUB,STAT_P2,63
2001,ascii,HHPUB,STAT_P3,64
2001,ascii,HHPUB,STAT_P4,65
2001,ascii,HHPUB,STAT_P5,66
2001,ascii,HHPUB,STAT_P6,67
2001,ascii,HHPUB,STAT_P7,68
2001,ascii,HHPUB,STAT_P8,69
2001,ascii,HHPUB,STAT_P9,70
2001,ascii,HHPUB,STAT_P10,71
2001,ascii,HHPUB,STAT_P11,72
2001,ascii,HHPUB,STAT_P12,73
2001,ascii,HHPUB,STAT_P13,74
2001,ascii,HHPUB,STAT_P14,75
2001,ascii,HHPUB,HHR_EDUC,76
2001,ascii,HHPUB,MAILHOME,77
2001,ascii,HHPUB,HHINCTTL,78
2001,ascii,HHPUB,RATIO16V,79
2001,ascii,HHPUB,RATIO16W,80
2001,ascii,HHPUB,RATIOWV,81
2001,ascii,HHPUB,TRAVDAY,82
2001,ascii,HHPUB,LANG,83
2001,ascii,HHPUB,TDAYDATE,84
2001,ascii,HHPUB,HHINTDT,85
2001,ascii,HHPUB,INC_P2,86
2001,ascii,HHPUB,INC_P3,87
2001,ascii,HHPUB,INC_P4,88
2001,ascii,HHPUB,INC_P5,89
2001,ascii,HHPUB,INC_P6,90
2001,ascii,HHPUB,INC_P7,91
2001,ascii,HHPUB,INC_P8,92
2001,ascii,HHPUB,INC_P9,93
2001,ascii,HHPUB,INC_P10,94
2001,ascii,HHPUB,INC_P11,95
2001,ascii,HHPUB,INC_P12,96
2001,ascii,HHPUB,INC_P13,97
2001,ascii,HHPUB,INC_P14,98
2001,ascii,HHPUB,TELTYPE,99
2001,ascii,HHPUB,HHNUMBIK,100
2001,ascii,HHPUB,TELCELL,101
2001,ascii,HHPUB,HHRESP,102
2001,ascii,HHPUB,TELBFM,103
2001,ascii,HHPUB,TELLAND,104
2001,ascii,HHPUB,TELTOTL,105
2001,ascii,HHPUB,HHFAMINC,106
2001,ascii,HHPUB,HHMNINC,107
2001,ascii,HHPUB,HHTOTD,108
2001,ascii,HHPUB,HHR_RACE,109
2001,ascii,HHPUB,HHR_SEX,110
2001,ascii,HHPUB,HHR_STAT,111
2001,ascii,HHPUB,NUMADLT,112
2001,ascii,HHPUB,HHSIZE,113
2001,ascii,HHPUB,SEX_P1,114
2001,ascii,HHPUB,SEX_P2,115
2001,ascii,HHPUB,SEX_P3,116
2001,ascii,HHPUB,SEX_P4,117
2001,ascii,HHPUB,SEX_P5,118
2001,ascii,HHPUB,SEX_P6,119
2001,ascii,HHPUB,SEX_P7,120
2001,ascii,HHPUB,SEX_P8,121
2001,ascii,HHPUB,SEX_P9,122
2001,ascii,HHPUB,SEX_P10,123
2001,ascii,HHPUB,SEX_P11,124
2001,ascii,HHPUB,SEX_P12,125
2001,ascii,HHPUB,SEX_P13,126
2001,ascii,HHPUB,SEX_P14,127
2001,ascii,HHPUB,INCM_P1,128
2001,ascii,HHPUB,INCM_P2,129
2001,ascii,HHPUB,INCM_P3,130
2001,ascii,HHPUB,INCM_P4,131
2001,ascii,HHPUB,INCM_P5,132
2001,ascii,HHPUB,INCM_P6,133
2001,ascii,HHPUB,INCM_P7,134
2001,ascii,HHPUB,AGE_P8,135
2001,ascii,HHPUB,INCM_P8,136
2001,ascii,HHPUB,AGE_P9,137
2001,ascii,HHPUB,INCM_P9,138
2001,ascii,HHPUB,AGE_P10,139
2001,ascii,HHPUB,INCM_P10,140
2001,ascii,HHPUB,AGE_P11,141
2001,ascii,HHPUB,INCM_P11,142
2001,ascii,HHPUB,AGE_P12,143
2001,ascii,HHPUB,INCM_P12,144
2001,ascii,HHPUB,AGE_P13,145
2001,ascii,HHPUB,INCM_P13,146
2001,ascii,HHPUB,AGE_P14,147
2001,ascii,HHPUB,INCM_P14,148
2001,ascii,HHPUB,RESP_CNT,149
2001,ascii,HHPUB,CNTTDHH,150
2001,ascii,HHPUB,CNTTPHH,151
2001,ascii,HHPUB,HHVEHCNT,152
2001,ascii,HHPUB,URBAN,153
2001,ascii,HHPUB,HOMEGEO,154
2001,ascii,HHPUB,MSASIZE,155
2001,ascii,HHPUB,CENSUS_R,156
2001,ascii,HHPUB,CENSUS_D,157
2001,ascii,HHPUB,SUM_STAT,158
2001,ascii,HHPUB,HHR_DRVR,159
2001,ascii,HHPUB,HHR_WRKR,160
2001,ascii,HHPUB,WRKCOUNT,161
2001,ascii,HHPUB,DRVRCNT,162
2001,ascii,HHPUB,EXPFLHHN,163
2001,ascii,HHPUB,WTHHNTL,164
2001,ascii,HHPUB,EXPFLLHH,165
2001,ascii,HHPUB,WTHHFIN,166
2001,ascii,HHPUB,HHSTATE,167
2001,ascii,HHPUB,HHSTFIPS,168
2001,ascii,HHPUB,HHC_MSA,169
2001,ascii,HHPUB,HHR_AGE,170
2001,ascii,HHPUB,AGE_P1,171
2001,ascii,HHPUB,AGE_P2,172
2001,ascii,HHPUB,AGE_P3,173
2001,ascii,HHPUB,AGE_P4,174
2001,ascii,HHPUB,AGE_P5,175
2001,ascii,HHPUB,AGE_P6,176
2001,ascii,HHPUB,AGE_P7,177
