domain,column_name,year_count,years
household,WKR_P12,1,2001
household,WKR_P13,1,2001
household,WKR_P14,1,2001
household,WKR_P2,1,2001
household,WKR_P3,1,2001
household,WKR_P4,1,2001
household,WKR_P5,1,2001
household,WKR_P6,1,2001
household,WKR_P7,1,2001
household,WKR_P8,1,2001
household,WKR_P9,1,2001
household,WRKCOUNT,4,2001;2009;2017;2022
household,WTHHFIN,4,2001;2009;2017;2022
household,WTHHFIN2D,1,2022
household,WTHHFIN5D,1,2022
household,WTHHNTL,1,2001
household,YOUNGCHILD,2,2017;2022
long_distance,ACCDIV,1,2001
long_distance,ACCMODE1,1,2001
long_distance,ACCMODE2,1,2001
long_distance,ACCMODE3,1,2001
long_distance,ACCMSA,1,2001
long_distance,ACCREG,1,2001
long_distance,ACCST,1,2001
long_distance,AIRSIZE,1,2022
long_distance,BEGTRAV,1,2001
long_distance,BEGTRIP,2,2001;2022
long_distance,CDIVMSAR,2,2001;2022
long_distance,CENSUS_D,2,2001;2022
long_distance,CENSUS_R,2,2001;2022
long_distance,COMMUTE,1,2001
long_distance,DRIVER,2,2001;2022
long_distance,DRVRCNT,2,2001;2022
long_distance,EDITRECU,1,2001
long_distance,EDUC,2,2001;2022
long_distance,EGRDIV,1,2001
long_distance,EGRMODE1,1,2001
long_distance,EGRMODE2,1,2001
long_distance,EGRMODE3,1,2001
long_distance,EGRMSA,1,2001
long_distance,EGRREG,1,2001
long_distance,EGRST,1,2001
long_distance,ENDTRAV,1,2001
long_distance,ENDTRIP,2,2001;2022
long_distance,EXITCDIV,1,2022
long_distance,EXPFLPTP,1,2001
long_distance,FARCDIV,1,2022
long_distance,FARCREG,1,2022
long_distance,FARDIV,1,2001
long_distance,FARMSA,1,2001
long_distance,FARREA21,1,2001
long_distance,FARREAS,1,2022
long_distance,FARREAS1,1,2001
long_distance,FARREAS2,1,2001
long_distance,FARREAS3,1,2001
long_distance,FARREAS4,1,2001
long_distance,FARREG,1,2001
long_distance,FARST,1,2001
long_distance,FARSTOP,1,2001
long_distance,GCDTOT,2,2001;2022
long_distance,GCD_FLAG,1,2022
long_distance,HBHRESDN,1,2001
long_distance,HBHTNRNT,2,2001;2022
long_distance,HBHUR,2,2001;2022
long_distance,HBPPOPDN,2,2001;2022
long_distance,HBRESDN,1,2022
long_distance,HHC_MSA,1,2001
long_distance,HHFAMINC,2,2001;2022
long_distance,HHFAMINC_IMP,1,2022
long_distance,HHINCTTL,1,2001
long_distance,HHMDRV,1,2001
long_distance,HHRESP,1,2001
long_distance,HHR_EDUC,1,2001
long_distance,HHR_HISP,1,2001
long_distance,HHR_RACE,1,2001
long_distance,HHR_WRKR,1,2001
long_distance,HHSIZE,2,2001;2022
long_distance,HHSTATE,1,2001
long_distance,HHSTFIPS,1,2001
long_distance,HHVEHCNT,2,2001;2022
long_distance,HH_HISP,1,2022
long_distance,HH_ONTP,1,2001
long_distance,HH_RACE,1,2022
long_distance,HOMEOWN,2,2001;2022
long_distance,HOMETYPE,1,2001
long_distance,HOUSEID,2,2001;2022
long_distance,HTEEMPDN,2,2001;2022
long_distance,HTHRESDN,1,2001
long_distance,HTHTNRNT,2,2001;2022
long_distance,HTHUR,1,2001
long_distance,HTPPOPDN,2,2001;2022
long_distance,HTRESDN,1,2022
long_distance,IFARCTRY,1,2001
long_distance,IMPTAGE,1,2001
long_distance,IMPTHOWN,1,2001
long_distance,IMPTHTYP,1,2001
long_distance,IMPTLEDT,1,2001
long_distance,IMPTNTIM,1,2001
long_distance,IMPTRACE,1,2001
long_distance,IMPTREDT,1,2001
long_distance,IMPTSEX,1,2001
long_distance,INT_FLAG,2,2001;2022
long_distance,LANG,1,2001
long_distance,LDT_FLAG,1,2022
long_distance,LD_AMT,1,2022
long_distance,LD_ICB,1,2022
long_distance,LD_NUMONTRP,1,2022
long_distance,LIF_CYC,2,2001;2022
long_distance,LONGDIST,1,2022
long_distance,LVEMNT,1,2001
long_distance,LVEYR,1,2001
long_distance,MAINMOD2,1,2001
long_distance,MAINMODE,2,2001;2022
long_distance,MRT_DATE,1,2022
long_distance,MSACAT,2,2001;2022
long_distance,MSAPOP,1,2001
long_distance,MSASIZE,2,2001;2022
long_distance,NTIMES,1,2001
long_distance,NTSAWAY,2,2001;2022
long_distance,NUMADLT,2,2001;2022
long_distance,NUMNHHM,1,2001
long_distance,OCCAT,1,2001
long_distance,ONTP_P1,2,2001;2022
long_distance,ONTP_P10,2,2001;2022
long_distance,ONTP_P11,1,2001
long_distance,ONTP_P12,1,2001
long_distance,ONTP_P13,1,2001
long_distance,ONTP_P14,1,2001
long_distance,ONTP_P2,2,2001;2022
long_distance,ONTP_P3,2,2001;2022
long_distance,ONTP_P4,2,2001;2022
long_distance,ONTP_P5,2,2001;2022
long_distance,ONTP_P6,2,2001;2022
long_distance,ONTP_P7,2,2001;2022
long_distance,ONTP_P8,2,2001;2022
