metric,objective,baseline,adapted,absolute_reduction,percent_reduction
trip_count_weighted_mae,Trip generation,4.337687319043563,2.5022798339489665,1.8354074850945965,42.31304264456052
trip_count_abs_weighted_bias,Trip generation calibration,3.605183709134669,0.0230380080847422,3.5821457010499267,99.36097547466528
mode_weighted_total_variation,Mode composition,0.2007767263580111,0.1985164383727184,0.0022602879852927082,1.125771909071931
transit_share_weighted_mae,Sustainable mode signal,0.0325202583800087,0.0268768789013847,0.005643379478624002,17.353427554847404
mode_specific_trip_volume_mae,Mode-specific trip volume,4.846747286883045,3.280196728142905,1.5665505587401398,32.32168846475163
