method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
historical_xgboost,42,0.2,1579,6314,4.016277960595127,4.9278814658962915,3.1694627489362444,-0.44300132916885104,4.350151492318737,5.3144848080748375,3.6116621516152234,-0.5934538851433151,3.873728681034857,7.48539083265008,cuda
bias_shift_calibration,42,0.2,1579,6314,2.666030623950721,3.7754433393264293,-0.35921207202356603,0.15300247908172648,2.72610076714706,3.8786725460479006,0.09038260711936974,0.15124295536434917,3.873728681034857,3.9641112881542266,cuda
residual_llm_only,42,0.2,1579,6314,2.767707117324318,3.8920891041351275,-0.21522534563830656,0.0998564497761264,2.852539444961862,4.02325108797039,0.21072126639961947,0.08678836859642325,3.873728681034857,4.084449947434477,cuda
residual_tabular_only,42,0.2,1579,6314,2.589394908654452,3.696788195006679,-0.0696272162232627,0.18792645484240011,2.6515015324200397,3.7876052049346116,0.20254282234266158,0.19063099498174885,3.873728681034857,4.0762715033775185,cuda
residual_tabular_plus_llm,42,0.2,1579,6314,2.5738209971227635,3.6797145275276493,-0.05987101640359941,0.19541027860044735,2.6372837953688104,3.7625433326854942,0.19862124489561162,0.20130644440269696,3.873728681034857,4.072349925930468,cuda
historical_xgboost,43,0.2,1579,6314,3.9929452897024413,4.918186386846882,3.175944852421168,-0.4677823384121831,4.3354078448646245,5.30441762399348,3.620739938038256,-0.633646137029682,3.8317578200808775,7.452497758119133,cuda
bias_shift_calibration,43,0.2,1579,6314,2.6661784789787637,3.752585142827875,-0.31746342319019993,0.14549855708497972,2.7224165767054203,3.8560190746047143,0.13685035981134977,0.13670163458715578,3.8317578200808775,3.9686081798922275,cuda
residual_llm_only,43,0.2,1579,6314,2.8204736964287997,3.949713964660757,-0.09054799334021886,0.0533640754127902,2.896843728642369,4.065015526006546,0.3556337698974218,0.04058392927098742,3.8317578200808775,4.187391589978299,cuda
residual_tabular_only,43,0.2,1579,6314,2.550272528170633,3.6568865508265564,-0.07134540467312112,0.18852589548733678,2.573896337350702,3.692002696307359,0.17387574933881292,0.2085807847061234,3.8317578200808775,4.0056335694196905,cuda
residual_tabular_plus_llm,43,0.2,1579,6314,2.5826496199825955,3.7029406550974335,-0.024260700315397527,0.16795810456890448,2.6198368376404533,3.7711739856013113,0.2523684570815907,0.17427447436073396,3.8317578200808775,4.0841262771624685,cuda
historical_xgboost,44,0.2,1579,6314,4.033330466122728,4.961366878684968,3.2020133162435944,-0.49420629420017304,4.350288821761983,5.325392414199801,3.62475199039791,-0.6977929766051227,3.8111700707064147,7.435922061104326,cuda
bias_shift_calibration,44,0.2,1579,6314,2.6761206003042273,3.7838982509387677,-0.27760328992541433,0.13086592949073483,2.743553375325879,3.8813488717468267,0.15595948926290393,0.09812393057046975,3.8111700707064147,3.967129559969319,cuda
residual_llm_only,44,0.2,1579,6314,2.8316142053629805,3.9982691842811424,-0.1276074665084382,0.029597437058662357,2.9369942720930524,4.136054162473314,0.2917715294641963,-0.024127284505330637,3.8111700707064147,4.102941600170611,cuda
residual_tabular_only,44,0.2,1579,6314,2.587144308068309,3.7054577153190267,0.04496694341806962,0.16652687869975702,2.634561259979018,3.7650801348403387,0.28972549458070623,0.15134739217178317,3.8111700707064147,4.1008955652871215,cuda
residual_tabular_plus_llm,44,0.2,1579,6314,2.6126247313644146,3.738518793278455,0.0874761558613673,0.15158759141033606,2.674331301337012,3.8204392847961963,0.3414823700214581,0.12620791511193907,3.8111700707064147,4.152652440727873,cuda
historical_xgboost,45,0.2,1579,6314,3.9933135131887894,4.923316939204635,3.164670262942406,-0.4434713055515418,4.312539006618416,5.288120434027314,3.596689739208136,-0.6273362247475773,3.8633997503636026,7.460089489571739,cuda
bias_shift_calibration,45,0.2,1579,6314,2.6717622913741357,3.7763916406956897,-0.41595504347398926,0.15072836072605889,2.7225808637440165,3.8513079224715807,0.025936703344136898,0.13684040366316552,3.8633997503636026,3.8893364537077395,cuda
residual_llm_only,45,0.2,1579,6314,2.777994969203044,3.915646425250148,-0.224190194507849,0.08693960707651427,2.864628484922876,4.033792198975058,0.1854978549749458,0.05310535454497012,3.8633997503636026,4.048897605338548,cuda
residual_tabular_only,45,0.2,1579,6314,2.560990962247362,3.7025914678199574,-0.09752565195638241,0.18359781530781005,2.60331395580683,3.748079064634338,0.10464280885514585,0.18249182463911995,3.8633997503636026,3.9680425592187483,cuda
residual_tabular_plus_llm,45,0.2,1579,6314,2.569276784260816,3.698413685974308,-0.07709159972284804,0.18543913429356607,2.6141799268521426,3.7496357916898058,0.11608155498604314,0.18181259596692412,3.8633997503636026,3.979481305349646,cuda
historical_xgboost,46,0.2,1579,6314,4.0240372529995,4.955139863267348,3.1846756456318936,-0.46908805957634425,4.376449871421671,5.350159960022306,3.6617438714158004,-0.6814948374838055,3.7983429657665186,7.460086837182319,cuda
bias_shift_calibration,46,0.2,1579,6314,2.696710682183112,3.7882726010871965,-0.1562065327584445,0.14134552016834334,2.780721932464481,3.897514284242181,0.3293043108130035,0.10764546375875572,3.7983429657665186,4.1276472765795225,cuda
residual_llm_only,46,0.2,1579,6314,2.8664045180177853,4.003041329316773,-0.08238042779160633,0.04122623432574957,2.9727566008567003,4.144021951683544,0.4120397904157424,-0.008802382391880803,3.7983429657665186,4.210382756182262,cuda
residual_tabular_only,46,0.2,1579,6314,2.617841191408111,3.703805701172326,0.05690926118934687,0.17920937766760858,2.7143828057257635,3.790228523041054,0.4060125413574032,0.15609648518924946,3.7983429657665186,4.204355507123922,cuda
residual_tabular_plus_llm,46,0.2,1579,6314,2.6205094823891657,3.712694566913164,0.08715976798764731,0.1752649739672687,2.703323529604655,3.7830895568950154,0.4376577077123804,0.15927250735477705,3.7983429657665186,4.236000673478899,cuda
