method,train_year,test_year,test_rows,device,unweighted_mean_share_mae,weighted_mean_share_mae,unweighted_total_variation,weighted_total_variation,dominant_mode_accuracy,weighted_dominant_mode_accuracy,private_vehicle_share_mae,private_vehicle_share_weighted_mae,private_vehicle_share_bias,private_vehicle_share_weighted_bias,walk_share_mae,walk_share_weighted_mae,walk_share_bias,walk_share_weighted_bias,bike_share_mae,bike_share_weighted_mae,bike_share_bias,bike_share_weighted_bias,transit_share_mae,transit_share_weighted_mae,transit_share_bias,transit_share_weighted_bias,taxi_ridehail_share_mae,taxi_ridehail_share_weighted_mae,taxi_ridehail_share_bias,taxi_ridehail_share_weighted_bias,other_share_mae,other_share_weighted_mae,other_share_bias,other_share_weighted_bias
historical_mean_2017,2017,2022,6188,none,0.08597135141533636,0.08821689640108546,0.2579140542460091,0.2646506892032564,0.9015837104072398,0.8932520728867326,0.2370749828067349,0.24218980876350318,-0.05069100006638839,-0.040742406582278935,0.15966068092099067,0.16059824781862367,0.02025471002731911,0.018381541534150402,0.019020942164542917,0.018782325569535345,0.000630278250912372,0.000874086021866192,0.05297872039206867,0.05671940973875617,0.026075249411110994,0.021955066148837087,0.00968226185677646,0.010288986435112859,0.0010656954992621498,0.00044534143972241834,0.03741052035090462,0.04072260008098162,0.0026650668777839347,-0.0009136285622969606
historical_xgboost,2017,2022,6188,cuda,0.06368245481443822,0.06692557545267037,0.1910473644433147,0.20077672635801114,0.9101486748545572,0.9029381242355896,0.16990435291191486,0.17520056837698314,0.0044067542125757805,0.004316319451266376,0.1303604951942642,0.13217808448945617,-0.005437092304775426,-0.004471498855192611,0.015500823578306013,0.01601371435167413,-0.002815441704721136,-0.0018545186410029483,0.027203766939508458,0.032520258380008785,0.004439301918581228,0.003490136927253342,0.007684041866248816,0.008718250225470568,-0.0008372795968751321,-0.0010054630747693663,0.031441248396386914,0.036922576892429455,0.00024375719727943646,-0.0004749754606834393
llm_transit_avoidance_a0p5,2017,2022,6188,cuda,0.06329947965798925,0.06652962477374343,0.18989843897396777,0.1995888743212303,0.9101486748545572,0.904152899649266,0.1697958414770242,0.175092070762266,0.006942040467915548,0.0072221392669594405,0.13037326757671575,0.13230403372646982,-0.004244452770927287,-0.0029594116716015004,0.015585934082583118,0.016137944401196723,-0.0027119456514214067,-0.001719063891404223,0.024717865266511888,0.02971197570095603,0.00036988707081032034,-0.0013999287327214872,0.007773537976569309,0.008839956487477532,-0.0007323724598560484,-0.0008665446799488313,0.03155043156853124,0.03709176756409452,0.0003768427400294922,-0.00027718971828846566
global_transit_avoidance_a0p5,2017,2022,6188,cuda,0.06336883350255529,0.06660597939506316,0.19010650050766587,0.19981793818518945,0.9101486748545572,0.9033454047140107,0.169504761069158,0.17481176648401553,0.005993782297374185,0.006053234490437648,0.13039939260603195,0.13225467095057034,-0.004929638278293405,-0.003832316152398301,0.015539031287398971,0.016068016868452415,-0.0027697571458800206,-0.0017958856597728402,0.02555862929763491,0.03073746015259539,0.0021949126423918834,0.0009104699663711207,0.007720095295188976,0.008766811472516548,-0.0007957838337351286,-0.0009505642584415632,0.03149109145991892,0.036997150442228705,0.0003064840134467725,-0.00038493796960346996
llm_transit_avoidance_a0p75,2017,2022,6188,cuda,0.0631208833059719,0.06634647687147813,0.18936264991791568,0.19903943061443435,0.9103102779573368,0.9044598844302323,0.16979809567395496,0.17509336286549748,0.008293623812414998,0.008780599094721203,0.13039019505492425,0.13237622623319364,-0.0035669055992707515,-0.002099103597140093,0.015633529024407927,0.016207818225323405,-0.0026536012053775164,-0.0016426347628672186,0.023467201118146236,0.02830553128442494,-0.0018520077287331842,-0.004084827861222982,0.007824471342740174,0.008909024680558882,-0.0006723438161687202,-0.0007874594742921537,0.031611807621657814,0.037186897939870324,0.0004512341983512306,-0.00016657306739405197
global_transit_avoidance_a0p75,2017,2022,6188,cuda,0.06321182747367118,0.06644575845011974,0.1896354824210136,0.19933727535035925,0.9103102779573368,0.9036607729442904,0.16931091357613043,0.1746238870561638,0.006800376753895511,0.006938193968488945,0.13041909039203636,0.13229338543193214,-0.004665046468464065,-0.0034984032906789342,0.015558902659121267,0.0160963304499729,-0.0027459500761460834,-0.0017652965116964387,0.024726198614995615,0.029832862106824027,0.001045753799758809,-0.00041438961130173236,0.00773894507469277,0.008792202685466422,-0.000774060015614554,-0.0009218365067589641,0.03151691452505068,0.0370358829703592,0.00033892556476564306,-0.00033826831030493395
llm_transit_avoidance_a1,2017,2022,6188,cuda,0.06295603182855235,0.0661721461242395,0.18886809548565708,0.19851643837271848,0.9104718810601163,0.9045847643352534,0.16984833983095857,0.17514169285921488,0.009713522698323478,0.010424755684089826,0.13041535360173023,0.13245477364703287,-0.0028217895605339694,-0.001152270167763688,0.01568517852329019,0.01628400290827685,-0.002589835092734284,-0.0015590811275304707,0.02222798627886218,0.02687687890138479,-0.004228002861240646,-0.0069666056637571125,0.007880515632142824,0.008984835026721243,-0.0006059998510448161,-0.0007004330684278905,0.0316788171043301,0.03729069340280636,0.0005321040076855343,-4.6365841110672317e-05
global_transit_avoidance_a1,2017,2022,6188,cuda,0.06305748989107061,0.0662882652571258,0.18917246967321183,0.19886479577137745,0.9101486748545572,0.904152899649266,0.16912277704494305,0.17444192802974492,0.007616240539384161,0.00783486628136807,0.13043845190161005,0.13233208866765528,-0.00439265388163566,-0.0031542066380622555,0.015579322905001785,0.01612547604159362,-0.0027214516300231436,-0.0017337958185079671,0.023902618939548394,0.028936059710918477,-0.00012263880148855014,-0.0017642518495573712,0.007758385396072333,0.008818389685431433,-0.0007516351152206194,-0.0008921923953284681,0.03154338315924804,0.03707564940741118,0.00037213843939635604,-0.00029041936740354177
