method,rows,weight_sum,weighted_mae,weighted_rmse,weighted_bias,abs_weighted_bias,weighted_target_mean,weighted_prediction_mean
primary_gated_adapter,7893,127544707.0,2.5022798339489665,3.6038437615055248,-0.023038008084742212,0.023038008084742212,3.831913682179956,3.808875674095214
global_trip_suppression_a1p25,7893,127544707.0,2.522331852502907,3.743187105215461,-0.7477032340364844,0.7477032340364844,3.831913682179956,3.0842104481434713
global_trip_suppression_a1,7893,127544707.0,2.5530939127554286,3.627152033492549,0.12287415524008434,0.12287415524008434,3.831913682179956,3.9547878374200405
cohort_trip_suppression_a1,7893,127544707.0,2.5614570307542586,3.6104098751464875,0.28744870570324216,0.28744870570324216,3.831913682179956,4.119362387883198
historical_xgboost,7893,127544707.0,4.337687319043563,5.316934312940995,3.605183709134669,3.605183709134669,3.831913682179956,7.437097391314626
