subgroup_column,subgroup_value,method,rows,weight_sum,weighted_mae,weighted_rmse,weighted_bias,weighted_target_mean,weighted_prediction_mean
WRKCOUNT,0,historical_xgboost,2758,43369247.00021003,3.7958641290321573,4.657050870858809,3.3127892746294365,2.2875122074459955,5.600301482075433
WRKCOUNT,0,llm_trip_suppression_a1p25,2758,43369247.00021003,1.950898934827701,2.7144893854288483,-0.2748778377686166,2.2875122074459955,2.012634369677379
WRKCOUNT,0,global_trip_suppression_a1p25,2758,43369247.00021003,2.0426443775727443,2.7142427448244066,0.03496757666198515,2.2875122074459955,2.3224797841079803
WRKCOUNT,0,random_trip_suppression_a1p25,2758,43369247.00021003,2.128215575829871,2.8620432714078587,0.12537476130431383,2.2875122074459955,2.412886968750309
WRKCOUNT,1,historical_xgboost,2790,45309376.45428127,4.081653120260532,5.01290066007254,3.417228240043653,3.5162877007562527,6.933515940799906
WRKCOUNT,1,llm_trip_suppression_a1p25,2790,45309376.45428127,2.2986014257042346,3.4299263629950576,-0.45766349226126046,3.5162877007562527,3.058624208494992
WRKCOUNT,1,global_trip_suppression_a1p25,2790,45309376.45428127,2.2479449691048607,3.4369758919860938,-0.6409156057292238,3.5162877007562527,2.8753720950270285
WRKCOUNT,1,random_trip_suppression_a1p25,2790,45309376.45428127,2.40094972786032,3.5849212418562577,-0.5123916821905597,3.5162877007562527,3.003896018565693
WRKCOUNT,2,historical_xgboost,2026,32224592.582005654,5.029577024538831,6.007224972846342,3.9853627699294862,5.599938828720369,9.585301598649856
WRKCOUNT,2,llm_trip_suppression_a1p25,2026,32224592.582005654,3.148380884732619,4.510953171752493,-0.9142043914927368,5.599938828720369,4.685734437227634
WRKCOUNT,2,global_trip_suppression_a1p25,2026,32224592.582005654,3.218428775538756,4.6943215429874225,-1.6248547624975307,5.599938828720369,3.975084066222839
WRKCOUNT,2,random_trip_suppression_a1p25,2026,32224592.582005654,3.3816562081677155,4.887904615923133,-1.5161688721981557,5.599938828720369,4.083769956522214
WRKCOUNT,3,historical_xgboost,266,5430724.960110581,6.094685476766037,7.119696420827268,4.698129954651637,7.415066036008874,12.113195990660511
WRKCOUNT,3,llm_trip_suppression_a1p25,266,5430724.960110581,3.7774315323257017,5.396405539043851,-1.1004198915345809,7.415066036008874,6.314646144474292
WRKCOUNT,3,global_trip_suppression_a1p25,266,5430724.960110581,3.9887186317588643,5.7254432916931135,-2.391648475491914,7.415066036008874,5.023417560516959
WRKCOUNT,3,random_trip_suppression_a1p25,266,5430724.960110581,4.232982774239781,5.997724674989334,-2.277671494786676,7.415066036008874,5.137394541222197
WRKCOUNT,4,historical_xgboost,42,955350.6070260877,6.776225135172089,7.932950679596147,5.695824388963021,7.760536165363651,13.456360554326672
WRKCOUNT,4,llm_trip_suppression_a1p25,42,955350.6070260877,4.469853675240225,5.71419365730716,-0.8826699560166729,7.760536165363651,6.877866209346978
WRKCOUNT,4,global_trip_suppression_a1p25,42,955350.6070260877,4.399154149368535,5.750992628502095,-2.1800999236508325,7.760536165363651,5.5804362417128175
WRKCOUNT,4,random_trip_suppression_a1p25,42,955350.6070260877,4.986557271046967,6.080292197741162,-2.2109023874502083,7.760536165363651,5.549633777913444
WRKCOUNT,5,historical_xgboost,8,202620.49981938396,7.119451327076054,9.718393609690398,6.597099270452786,9.002734000759185,15.599833271211972
WRKCOUNT,5,llm_trip_suppression_a1p25,8,202620.49981938396,6.001068160773963,6.372087163446537,-0.9041745870968836,9.002734000759185,8.0985594136623
WRKCOUNT,5,global_trip_suppression_a1p25,8,202620.49981938396,6.731268956153845,7.185904175845095,-2.5333863194236117,9.002734000759185,6.469347681335574
WRKCOUNT,5,random_trip_suppression_a1p25,8,202620.49981938396,7.246037042255376,8.266363280110673,-3.4382620978792735,9.002734000759185,5.564471902879912
WRKCOUNT,6,historical_xgboost,3,52794.896546992175,11.313267575877404,13.095498940740667,11.313267575877404,4.711059622489676,16.02432719836708
WRKCOUNT,6,llm_trip_suppression_a1p25,3,52794.896546992175,6.619918883719067,7.188659344791481,3.7017121566530418,4.711059622489676,8.412771779142718
WRKCOUNT,6,global_trip_suppression_a1p25,3,52794.896546992175,6.218899209885335,6.372874193203428,1.9343283251511658,4.711059622489676,6.645387947640842
WRKCOUNT,6,random_trip_suppression_a1p25,3,52794.896546992175,6.310208763818433,7.045109851449775,4.011422276553676,4.711059622489676,8.722481899043352
HHVEHCNT,0,historical_xgboost,476,10712489.268148404,3.2940542252334657,4.085218061263742,3.0205104308090203,1.560030731758171,4.580541162567191
HHVEHCNT,0,llm_trip_suppression_a1p25,476,10712489.268148404,1.4569235579206419,2.2738784272292345,-1.0408674879663082,1.560030731758171,0.5191632437918627
HHVEHCNT,0,global_trip_suppression_a1p25,476,10712489.268148404,1.544881244908364,2.0239733767520645,0.33954811848514144,1.560030731758171,1.8995788502433122
HHVEHCNT,0,random_trip_suppression_a1p25,476,10712489.268148404,1.6539905969975948,2.2470846474066946,0.40304963809261196,1.560030731758171,1.963080369850783
HHVEHCNT,1,historical_xgboost,2623,42271037.00351419,3.54487623384552,4.394623968129482,3.0797869843668444,2.6055923699611636,5.685379354328008
HHVEHCNT,1,llm_trip_suppression_a1p25,2623,42271037.00351419,1.9572410096690873,2.860064049438402,-0.6619199208312553,2.6055923699611636,1.9436724491299087
HHVEHCNT,1,global_trip_suppression_a1p25,2623,42271037.00351419,1.9808676183764664,2.7614992700630077,-0.2478302641756897,2.6055923699611636,2.357762105785474
HHVEHCNT,1,random_trip_suppression_a1p25,2623,42271037.00351419,2.0821675794141696,2.891906557686394,-0.15788301346446731,2.6055923699611636,2.4477093564966963
HHVEHCNT,2,historical_xgboost,3199,48347256.666449025,4.724655462296371,5.646324851127876,3.8222492675269266,4.518391692331188,8.340640959858113
HHVEHCNT,2,llm_trip_suppression_a1p25,3199,48347256.666449025,2.7683604764323992,4.022371497030043,-0.5228031243551454,4.518391692331188,3.9955885679760423
HHVEHCNT,2,global_trip_suppression_a1p25,3199,48347256.666449025,2.821749565990614,4.155989030309248,-1.0594761182727161,4.518391692331188,3.458915574058472
HHVEHCNT,2,random_trip_suppression_a1p25,3199,48347256.666449025,2.950068988829341,4.277691510678113,-0.9341855762054136,4.518391692331188,3.5842061161257748
HHVEHCNT,3,historical_xgboost,1043,16859279.62179253,5.297369793868905,6.302912515779149,4.210391336547058,5.285618726248936,9.496010062795994
HHVEHCNT,3,llm_trip_suppression_a1p25,1043,16859279.62179253,3.2148005172931526,4.474575218781411,-0.12623301928447453,5.285618726248936,5.159385706964461
HHVEHCNT,3,global_trip_suppression_a1p25,1043,16859279.62179253,3.22162993168497,4.749627758988551,-1.3475644141520648,5.285618726248936,3.9380543120968707
HHVEHCNT,3,random_trip_suppression_a1p25,1043,16859279.62179253,3.4215629759946746,4.95157883810656,-1.1873495906273295,5.285618726248936,4.0982691356216066
HHVEHCNT,4,historical_xgboost,360,6251993.794303581,5.217972223759558,6.292994877875832,4.208200087268573,6.152551673807586,10.360751761076159
HHVEHCNT,4,llm_trip_suppression_a1p25,360,6251993.794303581,3.166055691378093,4.527428864694938,-0.5886910598450023,6.152551673807586,5.563860613962583
HHVEHCNT,4,global_trip_suppression_a1p25,360,6251993.794303581,3.3237067251401955,4.8192829036317875,-1.8558836122261773,6.152551673807586,4.29666806158141
