method,family,description,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,exact_rounded_accuracy,within_1_trip,within_2_trips,within_3_trips,weighted_within_1_trip,weighted_within_2_trips,weighted_within_3_trips,exact_accuracy,within_1_accuracy,within_2_accuracy,within_3_accuracy,mae_delta_vs_primary
historical_xgboost,traditional_supervised,Historical routine model trained on pre-2022 NHTS labels.,4.337687323545808,5.316934317366308,3.6051837103426063,-0.6367465207446614,3.831913682179956,7.4370973925225625,0.05840618269352591,0.11795261624223996,0.2647915874825795,0.41935892563030536,0.09809696085548182,0.23389974913658806,0.38083928785572935,0.05840618269352591,0.18712783479032052,0.3485366780691752,0.4934752312175345,1.8354074895968413
zero_shot_llm_rule_tree,zero_shot_llm_tree,Frozen qualitative rule tree with no 2022 labels and no historical model baseline.,2.7507502252887983,3.7834428538500258,0.49997153108833076,0.1712315817729022,3.831913682179956,4.331885213268286,0.13290257189915114,0.25490941340428225,0.47979222095527685,0.6513366273913594,0.2546916777890311,0.4787872498818474,0.6449187191579534,0.13290257189915114,0.3652603572786013,0.580387685290764,0.7163309261370835,0.24847039133983184
zero_shot_pseudo_label_tree,zero_shot_llm_tree,"Shallow decision tree distilled from the zero-shot rule predictions, not true labels.",2.7767038570256113,3.819725469604201,0.4999715310883323,0.15525984917409952,3.831913682179956,4.331885213268289,0.1322690992018244,0.26073736221968835,0.4875205878626631,0.6685670847586469,0.25945172215498435,0.48650186769707887,0.6629673997904127,0.1322690992018244,0.35537818320030407,0.5687317876599518,0.706702141137717,0.2744240230766448
llm_only_pressure,llm_only_control,Existing LLM-only pressure baseline without the routine household predictor.,2.7175133709906736,3.9876142225127875,-0.37324858863071647,0.07937003059806125,3.831913682179956,3.4586650935492393,0.1415178005827949,0.26200430761434185,0.5095654377296338,0.679842898771063,0.26434737987851425,0.5170028343054679,0.6834677196621461,0.1415178005827949,0.3548714050424427,0.6140884327885469,0.72595971113645,0.2152335370417071
primary_hybrid_gated_adapter,main_method,Historical routine model plus fixed gated LLM event-prior adapter.,2.5022798339489665,3.6038437615055248,-0.023038008084742212,0.24804691566227388,3.831913682179956,3.808875674095214,0.1772456607120233,0.2976054732041049,0.5449132142404662,0.7116432281768655,0.2971439248944585,0.5395255506831927,0.7084982108536632,0.1772456607120233,0.4102369187888002,0.6558976308121119,0.7682756873178767,0.0
